key,en,am
summary:7-2-a_1_target,"Increase the proportion to 18&nbsp;% by 2020, to 30&nbsp;% by 2030 and to 60&nbsp;% by 2050",
summary:7-2-b_1,7.2.b - Share of electricity from renewable energy sources in electricity consumption,
summary:7-2-b_1_target,"Increase the proportion to at least 35&nbsp;% by 2020, to at least 50&nbsp;% by 2030 and to at least 80&nbsp;% by 2050",
summary:8-1-a_1,8.1 - Raw material input productivity,
summary:8-1-a_1_target,Trend of the years 2000 – 2010 to be continued up to 2030,
summary:8-2-ab_1,8.2.a - Government deficit,
summary:8-2-ab_1_target,"Annual government deficit less than 3&nbsp;% of GDP, to be continued up to 2030",
summary:8-2-ab_2,8.2.b - Structural deficit,
summary:8-2-ab_2_target,"Structurally balanced government budget, general government structural deficit must not exceed 0.5&nbsp;% of GDP, to be continued up to 2030",
summary:8-2-c_1,8.2.c - Government debt,
summary:8-2-c_1_target,"Ratio of government debt to GDP must not exceed 60&nbsp;%, to be continued up to 2030",
summary:8-3-a_1,8.3 - Gross fixed capital formation in relation to GDP,
summary:8-3-a_1_target,"Appropriate development of the ratio, to be continued up to 2030",
summary:8-4-a_1,8.4 - Gross domestic product per capita,
summary:8-4-a_1_target,Continued and appropriate economic growth,
summary:8-5-ab_1,"8.5.a - Employment rate, total (20-64 years)",
summary:8-5-ab_1_target,Increase the rate to 78&nbsp;% by 2030,
summary:8-5-ab_2,"8.5.b - Employment rate, elders (60-64 years)",
summary:8-5-ab_2_target,Increase the rate to 60% by 2030,
summary:8-6-a_1,8.6 - Number of members of the Textiles Partnership,
summary:8-6-a_1_target,Increase the number significantly by 2030,
summary:9-1-a_1,9.1.a - Private and public expenditure on research and development,
summary:9-1-a_1_target,At least 3.5&nbsp;% of GDP per year by 2025,
summary:9-1-b_1,9.1.b -,
summary:9-1-b_1_target,,
summary:indicator,Indicator,
summary:status,Evaluation,
summary:status_summary,Status summary - Evaluation for Germany in previous years,
summary:target,Target,
summary:year,Year,
