key,en,fr
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",
header:skip_link,Skip to main content,
header:tag_line,17 Goals to Transform our World,
metadata_fields:comments_limitations,Other information,
metadata_fields:comparison_sdg,Comparability with UN metadata,
metadata_fields:computation_calculations,Calculations,
metadata_fields:computation_definitions,Definitions,
metadata_fields:computation_units,Unit of measurement,
metadata_fields:dns_content_url,Content and progress,
metadata_fields:dns_content_url_text,Content and progress,
metadata_fields:dns_indicator_content,Content and progress,
metadata_fields:dns_indicator_definition,Definition<small> (Text from the Indicator Report 2018)</small>,
metadata_fields:dns_indicator_intention,Target and intention <small>(Text from the Indicator Report 2018)</small>,
metadata_fields:goal_meta_link,Link to the global metadata of this indicator,
metadata_fields:goal_meta_national_link,Link to national metadata,
metadata_fields:history_indicator_1,Indicator,
metadata_fields:history_indicator_2,Indicator,
metadata_fields:history_status_year_d_1,Evaluation,
metadata_fields:history_status_year_d_2,Evaluation,
metadata_fields:history_target_1,Target,
metadata_fields:history_target_2,Target,
metadata_fields:history_year_d_1,Year,
metadata_fields:history_year_d_2,Year,
metadata_fields:indicator,Indicator number,
metadata_fields:indicator_definition,Global indicator description,
metadata_fields:indicator_name,Indicator name,
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),
metadata_fields:info_url_1,Additional Information,
metadata_fields:national_data_update_url,Data last updated,
metadata_fields:national_geographical_coverage,Geographical coverage,
metadata_fields:national_indicator_available,Indicator available,
metadata_fields:national_indicator_description,Indicator description,
metadata_fields:national_metadata_update_url,Metadata last updated,
metadata_fields:source_contact_1,Contact details,
metadata_fields:source_contact_2,Contact details,
metadata_fields:source_contact_3,Contact details,
metadata_fields:source_contact_4,Contact details,
metadata_fields:source_contact_5,Contact details,
metadata_fields:source_contact_6,Contact details,
metadata_fields:source_earliest_available_1,Earliest available data,
metadata_fields:source_earliest_available_2,Earliest available data,
metadata_fields:source_earliest_available_3,Earliest available data,
metadata_fields:source_earliest_available_4,Earliest available data,
metadata_fields:source_earliest_available_5,Earliest available data,
metadata_fields:source_earliest_available_6,Earliest available data,
metadata_fields:source_geographical_coverage_1,Geographical coverage,
metadata_fields:source_geographical_coverage_2,Geographical coverage,
metadata_fields:source_geographical_coverage_3,Geographical coverage,
metadata_fields:source_geographical_coverage_4,Geographical coverage,
metadata_fields:source_geographical_coverage_5,Geographical coverage,
metadata_fields:source_geographical_coverage_6,Geographical coverage,
metadata_fields:source_next_release_1,Next release,
metadata_fields:source_next_release_2,Next release,
metadata_fields:source_next_release_3,Next release,
metadata_fields:source_next_release_4,Next release,
metadata_fields:source_next_release_5,Next release,
metadata_fields:source_next_release_6,Next release,
metadata_fields:source_organisation_1,Organisation,
metadata_fields:source_organisation_2,Organisation,
metadata_fields:source_organisation_3,Organisation,
metadata_fields:source_organisation_4,Organisation,
metadata_fields:source_organisation_5,Organisation,
metadata_fields:source_organisation_6,Organisation,
metadata_fields:source_other_info_1,Other information,
metadata_fields:source_other_info_2,Other information,
metadata_fields:source_other_info_3,Other information,
metadata_fields:source_other_info_4,Other information,
metadata_fields:source_other_info_5,Other information,
metadata_fields:source_other_info_6,Other information,
metadata_fields:source_periodicity_1,Periodicity,
metadata_fields:source_periodicity_2,Periodicity,
metadata_fields:source_periodicity_3,Periodicity,
metadata_fields:source_periodicity_4,Periodicity,
metadata_fields:source_periodicity_5,Periodicity,
metadata_fields:source_periodicity_6,Periodicity,
metadata_fields:source_release_date_1,Release date,
metadata_fields:source_release_date_2,Release date,
metadata_fields:source_release_date_3,Release date,
metadata_fields:source_release_date_4,Release date,
metadata_fields:source_release_date_5,Release date,
metadata_fields:source_release_date_6,Release date,
metadata_fields:source_statistical_classification_1,Statistical classification,
metadata_fields:source_statistical_classification_2,Statistical classification,
metadata_fields:source_statistical_classification_3,Statistical classification,
metadata_fields:source_statistical_classification_4,Statistical classification,
metadata_fields:source_statistical_classification_5,Statistical classification,
metadata_fields:source_statistical_classification_6,Statistical classification,
metadata_fields:source_url_1,Link to <br>data source,
metadata_fields:source_url_2,Link to <br>data source,
metadata_fields:source_url_3,Link to <br>data source,
metadata_fields:source_url_4,Link to <br>data source,
metadata_fields:source_url_5,Link to <br>data source,
metadata_fields:source_url_6,Link to <br>data source,
metadata_fields:target,Target name,
metadata_fields:target_id,Target number,
metadata_fields:un_custodian_agency,UN custodian agency,
metadata_fields:un_designated_tier,"<a href=""https://unstats.un.org/sdgs/iaeg-sdgs/tier-classification/"" title=""Click here for further information on the UN_Tier classification."">UN designated tier</a>",
dns_goals:1-title,No poverty,
dns_goals:10-title,Reduced inequalities,
dns_goals:11-title,Sustainable cities & communities,
dns_goals:12-title,Responsible consumption and production,
dns_goals:13-title,Climate action,
dns_goals:14-title,Life below water,
dns_goals:15-title,Life on land,
dns_goals:16-title,Peace and justice - strong institutions,
dns_goals:17-title,Partnerships for the goals,
dns_goals:2-title,Zero hunger,
dns_goals:3-title,Good health and well-being,
dns_goals:4-title,Quality education,
dns_goals:5-title,Gender equality,
dns_goals:6-title,Clean water and sanitation,
dns_goals:7-title,Affordable and clean energy,
dns_goals:8-title,Decent jobs and economic growth,
dns_goals:9-title,"Industry, innovation and infrastructure",
status:blitz,The indicator is not moving in the right direction so that the gap to the target value is widening,
status:exploring_data_sources,Exploring data sources,
status:leicht bewölkt,"If the trend continues, the indicator will be presumably miss its target by at least 5&nbsp;% and at most 20&nbsp% of the difference between the target value and the current value",
status:nebel,No evaluation possible,
status:not_applicable,Not applicable,
status:overall_reporting_status,Overall Reporting Status,
status:reported_online,Reported online,
status:reporting_status,Reporting Status,
status:sonne,"If the trend continues, the target value will be met or the difference between the target value and the current value will be less than 5&nbsp;%",
status:statistics_in_progress,Statistics in progress,
status:status_by_goal,Status by goal,
status:wolke,"The indicator is moving in the right direction but if the trend continues, the target value will be missed by more than 20&nbsp;% in the target year",
status:x,No evaluation possible,
global_goals:1-short,No poverty,
global_goals:10-short,Reduced inequalities,
global_goals:11-short,Sustainable cities & communities,
global_goals:12-short,Responsible consumption and production,
global_goals:13-short,Climate action,
global_goals:14-short,Life below water,
global_goals:15-short,Life on land,
global_goals:16-short,Peace and justice - strong institutions,
global_goals:17-short,Partnerships for the goals,
global_goals:2-short,Zero hunger,
global_goals:3-short,Good health and well-being,
global_goals:4-short,Quality education,
global_goals:5-short,Gender equality,
global_goals:6-short,Clean water and sanitation,
global_goals:7-short,Affordable and clean energy,
global_goals:8-short,Decent jobs and economic growth,
global_goals:9-short,"Industry, innovation and infrastructure",
data:%,Percentage (%),
data:'agriculture orientation index' for government expenditures,'Agriculture orientation index' for government expenditures,
data:'agriculture orientation index' for government expenditures (index),'Agriculture orientation index' for government expenditures,
data:0 - unknown age,Unknown Age,
data:0- to 2-year-olds,0- to 2-year-olds,
data:1 000 eur,1 000 €,
data:1 000 tonnes,1 000 t,
data:1) all age groups,All age groups,
data:1) male and female,Male and female,
data:1) total,Total,
data:10 to under 16 years,10 to under 16 years,
data:13 years and under,13 years and under,
data:14 to under 18 years,14 to under 18 years,
data:15 to under 25 years,15 to under 25 years,
data:16 to under 25 years,16 to under 25 years,
data:17 years and under,17 years and under,
data:18 to under 21 years,18 to under 21 years,
data:18 to under 30 years,18 to under 30 years,
data:18 to under 65 years,18 to under 65 years,
data:20 - 64 years,20 to 64 years,
data:21 to under 25 years,21 to under 25 years,
data:21 to under 60 years,21 to under 60 years,
data:25 to under 45 years,25 to under 45 years,
data:25 to under 75 years,25 to under 75 years,
data:25 years and over,25 years and over,
data:3- to 5-year-olds,3- to 5-year-olds,
data:30 to under 45 years,30 to under 45 years,
data:30-to 34-year-olds who have completed a programme of tertiary or post-secondary non-tertiary education,30-to 34-year-olds who have completed a programme of tertiary or post-secondary non-tertiary education,
data:3g,3G,
data:45 to under 55 years,45 to under 55 years,
data:45 to under 65 years,45 to under 65 years,
data:55 to under 65 years,55 to under 65 years,
data:60 - 64 years,60 to 64 years,
data:60 years and over,60 years and over,
data:65 years and over,65 years and over,
data:Baden-Württemberg,Baden-Wuerttemberg,
data:Bayern,Bavaria,
data:Berlin,Berlin,
data:Brandenburg,Brandenburg,
data:Bremen,Bremen,
data:Bundesland,Federal state,
data:Hamburg,Hamburg,
data:Hessen,Hesse,
data:Mecklenburg-Vorpommern,Mecklenburg Western Pomerania,
data:Niedersachsen,Lower Saxony,
data:Nordrhein-Westfalen,North Rhine-Westphalia,
data:Rheinland-Pfalz,Rhineland Palatinate,
data:Saarland,Saarland,
data:Sachsen,Saxony,
data:Sachsen-Anhalt,Saxony-Anhalt,
data:Schleswig-Holstein,Schleswig-Holstein,
data:Thüringen,Thuringia,
data:Year,Year,
"data:a) agriculture, forestry and fishing (nace rev 2, section a)","Agriculture, forestry and fishing (NACE Rev. 2, section A)",
data:a) at least one population and housing census in the last 10 years conducted,a) At least one population and housing census in the last 10 years conducted,
data:a) branches of payment service providers,a) Branches of payment service providers,
data:a) branches of payment service providers (per 100 000 adults),a) Branches of payment service providers,
data:a) cardiovascular disease,a) cardiovascular disease,
data:a) children and youths in grades 2/3 with a minimum proficiency level in,a) Children and youths in grades 2/3 with a minimum proficiency level in,
data:a) children and youths in grades 2/3 with a minimum proficiency level in (%),a) Children and youths in grades 2/3 with a minimum proficiency level in,
data:a) criminal offences (overall),Criminal offences (overall),
data:a) electricity,a) electricity,
data:a) final energy productivity,Final energy productivity,
data:a) germany (total),Germany (total),
data:a) government spending on health (cofog section 07),Government spending on health (COFOG section 07),
data:a) government spending on health (cofog section 07) (%),Government spending on health (COFOG section 07),
data:a) hazardous waste generated per capita,a) Hazardous waste generated per capita,
data:a) materially deprived persons,a) Materially deprived persons,
data:a) medical doctors,Medical doctors,
data:a) not at risk,Not at risk,
data:a) oda (commitments) for biodiversity,ODA (commitments) for biodiversity,
data:a) oda (gross disbursements) for water and sanitation,ODA (gross disbursements) for water and sanitation,
data:a) oda (gross disbursements) to the forestry sector,ODA (gross disbursements) to the forestry sector,
data:a) over 144 kbps to under 2 mbps,a) Over 144 Kbps to under 2 Mbps,
data:a) passenger transport,a) Passenger transport,
data:a) police reporting rate for physical assault,Police reporting rate for physical assault,
data:a) police reporting rate for physical assault (%),Police reporting rate for physical assault,
data:a) population using safely managed sanitation services,a) Population using safely managed sanitation services,
data:a) population using safely managed sanitation services (%),a) Population using safely managed sanitation services,
data:a) rural and non-rural areas,Rural and non-rural areas,
data:a) time series,Time series,
data:a) total,Total,
data:a) total (moving four-year average),Total (moving four-year average),
data:above-ground biomass stock in forest,Above-ground biomass stock in forest,
data:access to drinking water and sanitation subsidised by germany,Access to drinking water and sanitation subsidised by germany,
data:accounts at payment service providers,Accounts at payment service providers,
data:accounts at payment service providers (1 000),Accounts at payment service providers,
data:activities,Activities,
data:adolescent and adult smokers,Adolescent and adult smokers,
data:adolescents (12 to 17 years),Adolescents (12 to 17 years),
data:adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,Adult population achieving at least a fixed level of proficiency in functional: a) literacy skills,
data:adult population achieving at least a fixed level of proficiency in functional a) literacy skills:,Adult population achieving at least a fixed level of proficiency in functional: a) literacy skills,
data:adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,Adult population achieving at least a fixed level of proficiency in functional: b) numeracy skills,
data:adult population achieving at least a fixed level of proficiency in functional b) numeracy skills:,Adult population achieving at least a fixed level of proficiency in functional: b) numeracy skills,
data:adults (15 years and older),Adults (15 years and older),
data:age,Age group,
data:age (male and female),Age group (male and female),
"data:age (male and female, with and without disabilities)","Age (male and female, with and without disabilities)",
data:agricultural area under productive and organic agriculture practices,Agricultural area under productive and organic agriculture practices,
data:agricultural area under productive and organic agriculture practices (%),Agricultural area under productive and organic agriculture practices,
data:aid for trade commitments (oda and oof),Aid for trade commitments (ODA and OOF),
"data:aid for trade commitments (oda and oof) (mn usd, constant prices (2016))",Aid for trade commitments (ODA and OOF),
data:aid for trade gross disbursements (oda and oof),Aid for trade gross disbursements (ODA and OOF),
"data:aid for trade gross disbursements (oda and oof) (mn usd, constant prices (2016))",Aid for trade gross disbursements (ODA and OOF),
data:air pollutants,Air pollutants,
data:air pollutants overall,Air pollutants overall,
data:alcohol consumption (conversion by national factors),Alcohol consumption (conversion by national factors),
data:alcohol consumption (conversion by national factors) (litres of pure alcohol per capita),Alcohol consumption (conversion by national factors),
data:alcohol consumption (conversion by un factors),Alcohol consumption (conversion by UN factors),
data:alcohol consumption (conversion by un factors) (litres of pure alcohol per capita),Alcohol consumption (conversion by UN factors),
data:all age groups,All age groups,
data:animal genetic resources,Animal genetic resources,
data:animal genetic resources (number),Animal genetic resources,
data:annual growth rate of real gdp,Annual growth rate of real GDP,
data:annual growth rate of real gdp per capita,Annual growth rate of real GDP per capita,
data:annual growth rate of real gdp per capita (%),Annual growth rate of real GDP per capita,
data:annual growth rate of real gdp per employed person,Annual growth rate of real GDP per employed person,
data:annual growth rate of real gdp per employed person (%),Annual growth rate of real GDP per employed person,
data:area,Area,
data:area of law,Area of Law,
data:at-risk-of-poverty or social exclusion (according to eurostat definition),At-risk-of-poverty or social exclusion,
data:at-risk-of-poverty or social exclusion (according to eurostat definition) (%),At-risk-of-poverty or social exclusion,
data:at-risk-of-poverty rate (according to eurostat definition),At-risk-of-poverty rate,
data:at-risk-of-poverty rate (according to eurostat definition) (%),At-risk-of-poverty rate,
data:available income of private households,Available income of private households,
data:average hourly earnings of employees,Average hourly earnings of employees,
data:average hourly earnings of employees (eur/h),Average hourly earnings of employees,
data:average of 13 ihr core capacity scores,Average of 13 IHR core capacity scores,
data:average of 13 ihr core capacity scores (%),Average of 13 IHR core capacity scores,
data:average ph-concentration in the german bight,Average pH-concentration in the German Bight,
data:average ph-concentration in the german bight (ph-value),Average pH-concentration in the German Bight,
data:b) 2 mbps to under 10 mbps,b) 2 Mbps to under 10 Mbps,
data:b) at risk,At risk,
data:b) atms of national payment service providers,b) ATMs of national payment service providers,
data:b) atms of national payment service providers (per 100 000 adults),b) ATMs of national payment service providers,
data:b) birth registration,b) Birth registration,
data:b) cancer,b) cancer,
data:b) dentists,Dentists,
data:b) environmental protection expenditure,Environmental protection expenditure,
data:b) freight transport,b) Freight transport,
data:b) government spending on education (cofog section 09),Government spending on education (COFOG section 09),
data:b) government spending on education (cofog section 09) (%),Government spending on education (COFOG section 09),
data:b) hazardous waste treated,b) Hazardous waste treated,
"data:b) mimec (nace rev 2, sections b, c, d, f)","MIMEC (NACE Rev. 2, sections B, C, D, F)",
data:b) oda (gross disbursements) for other related water and sanitation purposes,ODA (gross disbursements) for other related water and sanitation purposes,
data:b) population with a bathtub or a shower,b) Population with a bathtub or a shower,
data:b) population with a bathtub or a shower (%),b) Population with a bathtub or a shower,
data:b) primary energy consumption,Primary energy consumption,
data:b) severely materially deprived persons,b) Serverely materially deprived persons,
data:b) target,Targets,
data:b) target (max),Targets (maximum),
data:b) target (min),Targets (minimum),
data:b) the internet for pedagogical purposes,b) the Internet for pedagogical purposes,
data:b) under observation,Under observation,
data:baden-wuerttemberg,Baden-Wuerttemberg,
data:baltic sea,Baltic sea,
data:bavaria,Bavaria,
data:bb,Brandenburg,
data:be,Berlin,
data:berlin,Berlin,
data:bn eur,Billions of euros (bn €),
data:boys,Boys,
data:brandenburg,Brandenburg,
data:bremen,Bremen,
"data:building and adjacent open area, commercial/ industrial area","Building and adjacent open area, commercial/ industrial area",
data:burglary in homes,Burglary in homes,
data:businesses who had the impression that public officials are corruptible (during interactions with public agencies in the previous two years),Businesses who had the impression that public officials are corruptible (during interactions with public agencies in the previous two years),
data:businesses who had the impression that public officials are corruptible (during interactions with public agencies in the previous two years) (%),Businesses who had the impression that public officials are corruptible (during interactions with public agencies in the previous two years),
data:bw,Baden-Wuerttemberg,
data:by,Bavaria,
data:c) 10 mbps to under 30 mbps,c) 10 Mbps to under 30 Mbps,
data:c) breeding programs for preservation,Breeding programs for preservation,
data:c) children and youths at the end of lower secondary education with a minimum proficiency level in,c) Children and youths at the end of lower secondary education with a minimum proficiency level in,
data:c) children and youths at the end of lower secondary education with a minimum proficiency level in (%),c) Children and youths at the end of lower secondary education with a minimum proficiency level in,
data:c) computers for pedagogical purposes,c) computers for pedagogical purposes,
data:c) death registration,c) Death registration,
data:c) diabetes mellitus,c) diabetes mellitus,
data:c) government spending on social protection (cofog section 10),Government spending on social protection (COFOG section 10),
data:c) government spending on social protection (cofog section 10) (%),Government spending on social protection (COFOG section 10),
data:c) nursing and midwifery personnel,Nursing and midwifery personnel,
data:c) police reporting rate for robbery,Police reporting rate for robbery,
data:c) police reporting rate for robbery (%),Police reporting rate for robbery,
"data:c) services (nace rev 2, sections e, g to t)","Services (NACE Rev. 2, sections E, G, to T)",
data:c) unknown,Unknown,
data:calculated annual values,Calculated annual values,
data:capital to assets ratio,Capital to assets ratio,
data:capital to assets ratio (%),Capital to assets ratio,
data:change in open space per capita,Change in open space per capita,
data:children at acute risk of harm with signs of physical abuse,Children at acute risk of harm with signs of physical abuse,
data:children at acute risk of harm with signs of physical abuse (%),Children at acute risk of harm with signs of physical abuse,
data:children at acute risk of harm with signs of physical or psychological abuse,Children at acute risk of harm with signs of physical or psychological abuse,
data:children at acute risk of harm with signs of physical or psychological abuse (%),Children at acute risk of harm with signs of physical or psychological abuse,
data:children at acute risk of harm with signs of psychological abuse,Children at acute risk of harm with signs of psychological abuse,
data:children at acute risk of harm with signs of psychological abuse (%),Children at acute risk of harm with signs of psychological abuse,
data:children in child day care at the age of 5,Children in child day care at the age of 5,
data:children in child day care at the age of 5 (%),Children in child day care at the age of 5,
data:children in institutional all-day care,Children in institutional all-day care,
data:children under 5 years of age whose births have been registered with a civil authority,Children under 5 years of age whose births have been registered with a civil authority,
data:children under 5 years of age whose births have been registered with a civil authority (%),Children under 5 years of age whose births have been registered with a civil authority,
data:cities with a legally required direct participation of civil society in urban planning and management,Cities with a legally required direct participation of civil society in urban planning and management,
data:cities with a legally required direct participation of civil society in urban planning and management (%),Cities with a legally required direct participation of civil society in urban planning and management,
data:class 3 areas (elevation 2500-3500 meters),Class 3 areas (Elevation 2&nbsp500-3&nbsp500 meters),
data:class 4 areas (elevation 1500-2500 meters),Class 4 areas (Elevation 1&nbsp500-2&nbsp500 meters),
data:class 5 areas (elevation 1000-1500 meters),Class 5 areas (Elevation 1&nbsp000-1&nbsp500 meters),
data:class 6 areas (elevation  300 -1000 meters),Class 6 areas (Elevation 300 -1&nbsp000 meters),
data:classification,Classification,
"data:co2 emission (without land use, land-use change and forestry) per real gdp","CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",
"data:co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))","CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",
data:co2 emissions per gross value added (price adjusted) in manufacturing industries,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,
data:co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,
data:co2 emissions per mileage of motor vehicles of the public sector,CO<sub>2</sub> emissions per mileage of motor vehicles of the public sector,
data:commercial air transport,Commercial air transport,
data:compliance with the basel convention,Compliance with the Basel Convention,
data:compliance with the basel convention (%),Compliance with the Basel Convention,
data:compliance with the minamata convention,Compliance with the Minamata Convention,
data:compliance with the minamata convention (%),Compliance with the Minamata Convention,
data:compliance with the montreal protocol,Compliance with the Montreal Protocol,
data:compliance with the montreal protocol (%),Compliance with the Montreal Protocol,
data:compliance with the rotterdam convention,Compliance with the Rotterdam Convention,
data:compliance with the rotterdam convention (%),Compliance with the Rotterdam Convention,
data:compliance with the stockholm convention,Compliance with the Stockholm Convention,
data:compliance with the stockholm convention (%),Compliance with the Stockholm Convention,
data:consumption by private households,Consumption by private households,
"data:consumption, investments and exports (price-adjusted)","Consumption, investments and exports (price-adjusted)",
data:cooling water,Cooling water,
data:copying or moving of files and folders,Copying or moving of files and folders,
data:corruption perceptions index,Corruption perceptions index,
data:countries with nationale statistical legislation exists that complies with the fundamental principles of offical statistics,Countries with nationale statistical legislation exists that complies with the Fundamental Principles of Offical Statistics,
data:countries with nationale statistical legislation exists that complies with the fundamental principles of offical statistics (number),Countries with nationale statistical legislation exists that complies with the Fundamental Principles of Offical Statistics,
"data:coverage of dtp (diphtheria, tetanus and pertussis) containing vaccine at school entrance","Coverage of DTP (diphtheria, tetanus and pertussis) containing vaccine at school entrance",
"data:coverage of dtp (diphtheria, tetanus and pertussis) containing vaccine at school entrance (%)","Coverage of DTP (diphtheria, tetanus and pertussis) containing vaccine at school entrance",
data:coverage of hpv containing vaccine of 15 years old girls,Coverage of HPV containing vaccine of 15 years old girls,
data:coverage of hpv containing vaccine of 15 years old girls (%),Coverage of HPV containing vaccine of 15 years old girls,
data:coverage of measles containing vaccine at school entrance,Coverage of measles containing vaccine at school entrance,
data:coverage of measles containing vaccine at school entrance (%),Coverage of measles containing vaccine at school entrance,
data:coverage of pneumococcal conjugate vaccine at school entrance,Coverage of pneumococcal conjugate vaccine at school entrance,
data:coverage of pneumococcal conjugate vaccine at school entrance (%),Coverage of pneumococcal conjugate vaccine at school entrance,
"data:creating electronic presentations or documents with text, images, tables or charts","Creating electronic presentations or documents with text, images, tables or charts",
data:criminal offences,Criminal offences,
data:criminal offences (overall),Criminal offences (overall),
data:current accounts,Current accounts,
data:current tobacco use among persons aged 15 years and older,Current tobacco use among persons aged 15 years and older,
data:current tobacco use among persons aged 15 years and older (%),Current tobacco use among persons aged 15 years and older,
data:current tobacco use among persons aged 15 years and older (age-standardised to who standard population),Current tobacco use among persons aged 15 years and older (age-standardised to WHO Standard Population),
data:current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),Current tobacco use among persons aged 15 years and older (age-standardised to WHO Standard Population),
data:d) 30 mbps to under 100 mbps,d) 30 Mbps to under 100 Mbps,
data:d) adapted infrastructure and materials for students with disabilities,d) adapted infrastructure and materials for students with disabilities,
data:d) chronic respiratory disease,d) chronic respiratory disease,
data:d) pharmacists,Pharmacists,
data:d) rudiments remaining,Rudiments remaining,
data:data from bmel,Data from BMEL,
data:data from destatis,Data from Destatis,
data:debt level of the total public budget,Debt level of the total public budget,
"data:degree of combat illegal, unreported and unregulated fishing","Degree of combat illegal, unreported and unregulated fishing",
"data:degree of combat illegal, unreported and unregulated fishing (/)","Degree of combat illegal, unreported and unregulated fishing",
data:degree of integrated water resources management implementation,Degree of integrated water resources management implementation,
data:degree of integrated water resources management implementation (%),Degree of integrated water resources management implementation,
data:deposit onto or into land and land treatment and release into water bodies,deposit onto or into land and land treatment and release into water bodies,
data:diarrhoea,diarrhoea,
data:difference between average gross hourly earnings of women and men,Difference between average gross hourly earnings of women and men,
data:dimension,Time series,
data:direct co2 emissions and co2 content of consumer goods,direct CO<sub>2</sub> emissions and CO<sub>2</sub> content of consumer goods,
data:direct energy consumption,Direct energy consumption,
data:disability,Disability status,
"data:disability (all age groups, male and female)","Disability (all age groups, male and female)",
data:disabled,Persons with disability,
data:disbursements mainly to developing and newly industrialising countries to support good governance for food security,Disbursements mainly to developing and newly industrialising countries to support good governance for food security,
data:display,Display,
data:dmc (abiotic and biotic material),DMC (abiotic and biotic material),
data:dmc per capita,DMC per capita,
data:dmc per real gdp,DMC per real GDP,
data:documents issued for the import and export of protected species,Documents issued for the import and export of protected species,
data:documents issued for the import and export of protected species (number),Documents issued for the import and export of protected species,
data:e) 100 mbps and over,e) 100 Mbps and over,
data:e) basic drinking water,e) basic drinking water,
data:early school leavers (18- to 24-year-olds),Early school leavers (18- to 24-year-olds),
data:ecological farming area in total agricultural area,Ecological farming area in total agricultural area,
data:ecological farming area in total agricultural area (%),Ecological farming area in total agricultural area,
data:economic sector,Economic sector,
data:ecosystems in which critical loads for eutrophication due to nitrogen input are exceeded,Ecosystems in which critical loads for eutrophication due to nitrogen input are exceeded,
data:education,Education level,
data:electricity generated from renewable energy sources,Electricity generated from renewable energy sources,
data:emas organisational locations,EMAS organisational locations,
data:emas organisations,EMAS organisations,
data:emissions of air pollutants,Emissions of air pollutants,
data:employees in thousands,Employees in thousands,
data:employment and economic benefits,employment and economic benefits,
data:energy consumption and co2 emissions by private households,Energy consumption and CO<sub>2</sub> emissions by private households,
data:energy content of consumer goods,Energy content of consumer goods,
data:energy intensity measured in terms of primary energy and gdp,Energy intensity measured in terms of primary energy and GDP,
data:energy recovery,energy recovery,
data:eu-28,EU-28,
data:eur,Euro,
data:eur/h,EUR/h,
data:expansion of settlement and transport area,Expansion of settlement and transport area,
data:exploitation of labour,Exploitation of labour,
"data:exploitation of labour, 14 to under 18 years","Exploitation of labour, 14 to under 18 years",
"data:exploitation of labour, 18 to under 21 years","Exploitation of labour, 18 to under 21 years",
"data:exploitation of labour, 21 to under 60 years","Exploitation of labour, 21 to under 60 years",
"data:exploitation of labour, female","Exploitation of labour, female",
"data:exploitation of labour, male","Exploitation of labour, male",
"data:exploitation of labour, under 14 years","Exploitation of labour, under 14 years",
data:export refunds,Export refunds,
data:export refunds (eur),Export refunds,
data:extensive material deprivation,Extensive material deprivation,
data:extensive material deprivation (%),Extensive material deprivation,
data:f) single-sex basic sanitation facilities,f) single-sex basic sanitation facilities,
data:facilities,Facilities,
data:fatal occupational accidents,Fatal occupational accidents,
data:fatal occupational accidents (per 100 000 employees),Fatal occupational accidents,
