key,en,ar
data:membership ganhri (category a),Membership GANHRI (category A),
data:membership ganhri (category a) (number),Membership GANHRI (category A),
data:mg/l,Milligrams per litre (mg/l),
data:micrograms per cubic meter,Micrograms per cubic meter,
data:min.,Minutes,
data:minimum requirement level i,minimum requirement level I,
data:minimum requirement level ii,minimum requirement level II,
data:mio.,Millions,
data:mio. eur,Millions of euros (Mn €),
data:mj/eur,MJ/EUR,
data:mn eur,Mn EUR,
data:mn h,Mn h,
data:mn pkm,Mn pkm,
data:mn t,Mn t,
data:mn tkm,Mn tkm,
"data:mn usd, constant prices (2016)","Mn USD, constant prices (2016)",
data:mobility impaired people,Mobility impaired people,
data:mode of transport,Mode of transport,
data:monitored fish stocks based on the msy approach that are professionally exploited,Monitored fish stocks based on the MSY approach that are professionally exploited,
data:monitored fish stocks based on the msy approach that are professionally exploited (%),Monitored fish stocks based on the MSY approach that are professionally exploited,
data:mortality rate attributed to,Mortality rate attributed to,
data:mortality rate attributed to (per 100 000 inhabitants),Mortality rate attributed to,
data:mortality rate attributed to unintentional poisoning,Mortality rate attributed to unintentional poisoning,
data:mortality rate attributed to unintentional poisoning (per 100 000 inhabitants),Mortality rate attributed to unintentional poisoning,
data:mortality rate of persons aged 30 to under 70 years attributed to,Mortality rate of persons aged 30 to under 70 years attributed to,
data:mortality rate of persons aged 30 to under 70 years attributed to (1 000),Mortality rate of persons aged 30 to under 70 years attributed to,
data:motorised private transport,Motorised private transport,
data:mountain green cover index,Mountain Green Cover Index,
data:mountain green cover index (%),Mountain Green Cover Index,
"data:moving five-year average, referring to the middle year","Moving five-year average, referring to the middle year",
data:municipal solid waste regularly collected and treated,Municipal solid waste regularly collected and treated,
data:municipal waste recycled,Municipal waste recycled,
data:mv,Mecklenburg Western Pomerania,
data:national recycling rate of municipal waste,National recycling rate of municipal waste,
data:national sustainable development strategie,National Sustainable Development Strategie,
data:national sustainable development strategie (number),National Sustainable Development Strategie,
data:neonatal mortality rate,Neonatal mortality rate,
data:neonatal mortality rate (per 1 000 live births),Neonatal mortality rate,
data:net open position in foreign exchange to capital,Net open position in foreign exchange to capital,
data:net open position in foreign exchange to capital (%),Net open position in foreign exchange to capital,
data:nh3,NH<sub>3</sub>,
data:ni,Lower Saxony,
data:nitrate in groundwater,Nitrate in groundwater,
data:nitrogen surplus in land used for agriculture,Nitrogen surplus in land used for agriculture,
data:nmvoc,NMVOC,
data:non-fatal occupational accidents,Non-fatal occupational accidents,
data:non-fatal occupational accidents (per 100 000 employees),Non-fatal occupational accidents,
data:non-rural areas,Non-rural areas,
data:nondisabled,Persons without disability,
data:nonperforming loans net of provisions to capital,Nonperforming loans net of provisions to capital,
data:nonperforming loans net of provisions to capital (%),Nonperforming loans net of provisions to capital,
data:nonperforming loans net of provisions to gross loans,Nonperforming loans net of provisions to gross loans,
data:nonperforming loans net of provisions to gross loans (%),Nonperforming loans net of provisions to gross loans,
data:north rhine-westphalia,North Rhine-Westphalia,
data:north sea,North sea,
data:nox,NO<sub>x</sub>,
data:number,Number,
"data:number of partner countries of german development cooperation whose rating has improved compared with 2012""","number of partner countries of german development cooperation whose rating has improved compared with 2012""",
"data:number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world","Number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",
data:nw,North Rhine-Westphalia,
data:obese,Obese,
data:occupation,Occupation,
"data:oda (commitments) for biodiversity (mn usd, constant prices (2016))",ODA (gross disbursements) to the forestry sector,
data:oda (gross disbursements) for imputed student costs,ODA (gross disbursements) for imputed student costs,
"data:oda (gross disbursements) for imputed student costs (mn usd, constant prices (2016))",ODA (gross disbursements) for imputed student costs,
"data:oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",ODA (gross disbursements) for other related water and sanitation purposes,
data:oda (gross disbursements) for scholarships,ODA (gross disbursements) for scholarships,
"data:oda (gross disbursements) for scholarships (mn usd, constant prices (2016))",ODA (gross disbursements) for scholarships,
"data:oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",ODA (gross disbursements) for water and sanitation,
data:oda (gross disbursements) to infrastructure,ODA (gross disbursements) to infrastructure,
"data:oda (gross disbursements) to infrastructure (mn usd, constant prices (2016))",ODA (gross disbursements) to infrastructure,
data:oda (gross disbursements) to medical research and basic health sectors,ODA (gross disbursements) to medical research and basic health sectors,
"data:oda (gross disbursements) to medical research and basic health sectors (mn usd, constant prices (2016))",ODA (gross disbursements) to medical research and basic health sectors,
data:oda (gross disbursements) to the agriculture sector,ODA (gross disbursements) to the agriculture sector,
"data:oda (gross disbursements) to the agriculture sector (mn usd, constant prices (2016))",ODA (gross disbursements) to the agriculture sector,
"data:oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",ODA (commitments) for biodiversity,
data:oda (net disbursements),ODA (net disbursements),
data:oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries,ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries,
"data:oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices (2016))",ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries,
data:oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),ODA and OOF (commitments) to developing countries for capacity building and national planning (without South-South cooperation),
"data:oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation) (mn usd, constant prices (2016))",ODA and OOF (commitments) to developing countries for capacity building and national planning (without South-South cooperation),
data:oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,
"data:oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,
data:oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),ODA and OOF (gross disbursements) to developing countries for capacity building and national planning (without South-South cooperation),
"data:oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation) (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) to developing countries for capacity building and national planning (without South-South cooperation),
data:oda and oof (gross disbursements) to infrastructure,ODA and OOF (gross disbursements) to infrastructure,
"data:oda and oof (gross disbursements) to infrastructure (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) to infrastructure,
data:officially supported export credits (net disbursements),Officially Supported Export Credits (net disbursements),
data:online accounts,Online accounts,
data:oof (net disbursements),OOF (net disbursements),
data:open water bodies,Open water bodies,
data:organically farmed agricultural land,Organically farmed agricultural land,
data:organisations with emas registration,Organisations with EMAS registration,
data:organisations with emas registration (number),Organisations with EMAS registration,
data:other,Other,
data:other criminal offences:,Other criminal offences,
data:other wastewater that does not have to undergo treatment,Other wastewater that does not have to undergo treatment,
data:overarching legal frameworks and public life,overarching legal frameworks and public life,
data:overweight,Total (Overweight including obese),
data:overweight among children under the age of 5 years,Overweight among children under the age of 5 years,
data:overweight among children under the age of 5 years (%),Overweight among children under the age of 5 years,
data:participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,Participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,
data:participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),Participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,
data:participation rate of adults in formal and non-formal education and training in the previous 12 months,Participation rate of adults in formal and non-formal education and training in the previous 12 months,
data:participation rate of adults in formal and non-formal education and training in the previous 12 months (%),Participation rate of adults in formal and non-formal education and training in the previous 12 months,
"data:particulate matter exposure (pm10), of at least 20 micro-g per m3 air on average per year","Particulate matter exposure (pm10), of at least 20 micro-g per m<sup>3</sup> air on average per year",
data:partnership for sustainable textiles,Partnership for sustainable textiles,
data:passenger transport,a) Passenger transport,
data:passenger transport performance,Passenger transport performance,
data:payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,Payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,
data:penetration rate mobile communication (related to the population),Penetration rate mobile communication (related to the population),
data:penetration rate mobile communication (related to the population) (%),Penetration rate mobile communication (related to the population),
data:per 1 000 inhabitants,Per 1 000 inhabitants,
data:per 1 000 live births,Per 1 000 live births,
data:per 1 000 women of same age,Per 1 000 women of same age,
data:per 1 mn inhabitants,Per 1 Mn inhabitants,
data:per 10 000 inhabitants,Per 10 000 inhabitants,
data:per 100 000 adults,per 100 000 adults,
data:per 100 000 employees,Per 100 000 employees,
data:per 100 000 inhabitants,Per 100 000 inhabitants,
data:per 100 000 live births,Per 100 000 live births,
data:per 100 inhabitants,Per 100 inhabitants,
data:percent,Percent,
data:percentage,percentage,
data:percentage (%),Percentage (%),
data:persons (10 years and older) with computer-related activities in the last 12 months,Persons (10 years and older) with computer-related activities in the last 12 months,
data:persons (10 years and older) with computer-related activities in the last 12 months (%),Persons (10 years and older) with computer-related activities in the last 12 months,
data:persons employed,Persons employed,
data:persons employed in accommodation,Persons employed in accommodation,
data:persons employed in accommodation (1 000),Persons employed in accommodation,
data:persons employed in tourism industries,Persons employed in tourism industries,
data:persons employed in tourism industries (1 000),Persons employed in tourism industries,
data:ph-value,ph-value,
data:phosphorous in flowing waters,Phosphorous in flowing waters,
data:plant genetic resources,Plant genetic resources,
data:plant genetic resources (number),Plant genetic resources,
data:pm2.5,PM<sub>2.5</sub>,
data:population connected to the public water supply system,Population connected to the public water supply system,
data:population connected to the public water supply system (%),Population connected to the public water supply system,
data:population considering their dwelling as too dark,Population considering their dwelling as too dark,
data:population covered by health insurance,Population covered by health insurance,
data:population covered by health insurance (%),Population covered by health insurance,
data:population growth rate,Population growth rate,
data:population living below 50% of median income,Population living below 50% of median income,
data:population living below 50% of median income (%),Population living below 50% of median income,
"data:population living in an area with crime, violence or vandalism","Population living in an area with crime, violence or vandalism",
data:population living in an area with noise pollution,Population living in an area with noise pollution,
data:population living in households with moisture damages,Population living in households with moisture damages,
"data:population not living in an area with crime, violence or vandalism","Population not living in an area with crime, violence or vandalism",
"data:population not living in an area with crime, violence or vandalism (%)","Population not living in an area with crime, violence or vandalism",
data:population satisfied with their experience of government services during the previous two years,Population satisfied with their experience of government services during the previous two years,
data:population satisfied with their experience of government services during the previous two years (%),Population satisfied with their experience of government services during the previous two years,
data:population subjected to physical violence,Population subjected to physical violence,
data:population that has convenient access to public transport (within 10 minutes walking distance),Population that has convenient access to public transport (within 10 minutes walking distance),
data:population that has convenient access to public transport (within 10 minutes walking distance) (%),Population that has convenient access to public transport (within 10 minutes walking distance),
data:population that has convenient access to public transport (within 500 meters),Population that has convenient access to public transport (within 500 meters),
data:population that has convenient access to public transport (within 500 meters) (%),Population that has convenient access to public transport (within 500 meters),
data:population using safely managed drinking water services,Population using safely managed drinking water services,
data:population using safely managed drinking water services (%),Population using safely managed drinking water services,
data:population using the internet in the last three months,Population using the internet in the last three months,
data:population using the internet in the last three months (%),Population using the internet in the last three months,
data:population weighted annual mean levels of pm10,Population weighted annual mean levels of PM10,
data:population weighted annual mean levels of pm10 (micrograms per cubic meter),Population weighted annual mean levels of PM10,
data:population weighted annual mean levels of pm10 (ug/m3),Population weighted annual mean levels of PM10,
data:population who considers their experiences with public agencies free of discrimination during the previous two years,Population who considers their experiences with public agencies free of discrimination during the previous two years,
data:population who considers their experiences with public agencies free of discrimination during the previous two years (%),Population who considers their experiences with public agencies free of discrimination during the previous two years,
data:population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),Population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),
data:population who were victims of criminal offences,Population who were victims of criminal offences,
data:population with access to electricity,Population with access to electricity,
data:premature mortality,Premature mortality,
data:primary,Primary education,
data:private and public spending on research and development,Private and public spending on research and development,
data:private concessional flows (net disbursements),Private Concessional Flows (net disbursements),
data:private households with at least one mobile phone,Private households with at least one mobile phone,
data:private households with at least one mobile phone (%),Private households with at least one mobile phone,
data:private persons (donors) suspected in the context of corruption offences,Private persons (donors) suspected in the context of corruption offences,
data:private sector flows at market terms (net disbursements),Private Sector Flows at market terms (net disbursements),
data:profession,Profession,
data:proportion of bilateral and imputed multilateral net oda for ldcs to the gni,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,
data:proportion of bilateral and imputed multilateral net oda for ldcs to the gni (%),Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,
data:proportion of domestic expenditures funded by national taxes,Proportion of domestic expenditures funded by national taxes,
data:proportion of domestic expenditures funded by national taxes (%),Proportion of domestic expenditures funded by national taxes,
data:proportion of domestic expenditures funded by national taxes and insurance contributions,Proportion of domestic expenditures funded by national taxes and insurance contributions,
data:proportion of domestic expenditures funded by national taxes and insurance contributions (%),Proportion of domestic expenditures funded by national taxes and insurance contributions,
data:proportion of msy examined in all managed stocks,Proportion of MSY examined in all managed stocks,
data:proportion of net oda to gni,Proportion of net ODA to GNI,
data:proportion of net oda to gni (%),Proportion of net ODA to GNI,
data:proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation,
data:proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation,
data:proportion of r&d expenditures to gdp,Proportion of R&D expenditures to GDP,
data:proportion of r&d expenditures to gdp (%),Proportion of R&D expenditures to GDP,
data:proportion of results indicators drawn from country-led results frameworks by providers of development cooperation,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation,
data:proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation,
data:proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation,
data:proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation,
data:proportion of settlement and transport areas to population,Proportion of settlement and transport areas to population,
data:proportion of sustainable managed stocks in all msy examined stocks,Proportion of sustainable managed stocks in all MSY examined stocks,
data:proportion of total government revenue to gdp,Proportion of total government revenue to GDP,
data:proportion of total government revenue to gdp (%),Proportion of total government revenue to GDP,
data:protected marine area,Protected marine area,
data:protected marine area (%),Protected marine area,
data:protected terrestrial areas,Protected terrestrial areas,
data:protected terrestrial areas (%),Protected terrestrial areas,
data:protein-energy malnutrition,protein-energy malnutrition,
data:public access to information,Public access to information,
data:public access to information (number),Public access to information,
data:public debt,public debt,
data:quintile1,Quintile 1,
data:quintile2,Quintile 2,
data:quintile3,Quintile 3,
data:quintile4,Quintile 4,
data:quintile5,Quintile 5,
data:rail transport,Rail transport,
data:rating for germany,Rating for germany,
data:ratio,Ratio,
data:ratio of land consumption rate to population growth rate,Ratio of land consumption rate to population growth rate,
data:raw material input productivity,Raw material input productivity,
"data:raw material use for consumption, investments and exports","Raw material use for consumption, investments and exports",
data:reading,reading,
data:real gdp per capita,Real GDP per capita,
data:recovery other than energy recovery,recovery other than energy recovery,
"data:recreation area, cemeteries","Recreation area, cemeteries",
data:recycled paper bearing the blue angel label as a proportion of the total paper consumption of the federal administration,Recycled paper bearing the blue angel label as a proportion of the total paper consumption of the federal administration,
data:red list index,Red List Index,
data:red list index (%),Red List Index,
data:region,Federal state,
data:regulatory tier 1 capital to risk-weighted assets,Regulatory Tier 1 capital to risk-weighted assets,
data:regulatory tier 1 capital to risk-weighted assets (%),Regulatory Tier 1 capital to risk-weighted assets,
data:renewable energy share in gross final energy consumption (according to national definition),Renewable energy share in gross final energy consumption (according to national definition),
data:renewable energy share in gross final energy consumption (according to national definition) (%),Renewable energy share in gross final energy consumption (according to national definition),
data:renewable energy share in total final energy consumption (according to un definition),Renewable energy share in total final energy consumption (according to UN definition),
data:renewable energy share in total final energy consumption (according to un definition) (%),Renewable energy share in total final energy consumption (according to UN definition),
data:researchers from ldcs,Researchers from LDCs,
data:researchers from other developing and emerging countries,Researchers from other developing and emerging countries,
data:researchers in full-time equivalents,Researchers in full-time equivalents,
data:researchers in full-time equivalents (per 1 mn inhabitants),Researchers in full-time equivalents,
data:responsible public procurement,Responsible public procurement,
data:return on assets,Return on assets,
data:return on assets (%),Return on assets,
data:rhineland palatinate,Rhineland Palatinate,
data:river water bodies,River water bodies,
data:rmc (abiotic and biotic material),RMC (abiotic and biotic material),
data:rmc per capita,RMC per capita,
data:rmc per real gdp,RMC per real GDP,
data:road transport,Road transport,
data:rp,Rhineland Palatinate,
data:rural,Rural,
data:rural areas,Rural areas,
data:saarland,Saarland,
data:saxony,Saxony,
data:saxony-anhalt,Saxony-Anhalt,
data:schleswig-holstein,Schleswig-Holstein,
data:schools with access to (%):,Schools with access to,
data:schools with access to:,Schools with access to,
data:sdg indicator 4-2-2,SDG indicator 4.2.2,
data:sdg indicator 4-3-1 (adults),SDG indicator 4.3.1 (adults),
data:sdg indicator 4-3-1 (youth),SDG indicator 4.3.1 (youth),
data:sea,Sea,
data:seats held by women in national parliament,Seats held by women in national parliament,
data:seats held by women in national parliament (%),Seats held by women in national parliament,
data:seats held by women in the parliament of (%):,Seats held by women in the parliament of:,
data:seats held by women in the parliament of:,Seats held by women in the parliament of:,
data:secondary,Secondary education,
data:seized arms and parts,Seized arms and parts,
data:seized arms and parts (number),Seized arms and parts,
data:seizures by authorities concerning the protection of species,Seizures by authorities concerning the protection of species,
data:seizures by authorities concerning the protection of species (number),Seizures by authorities concerning the protection of species,
data:serious and grievous bodily harm,Serious and grievous bodily harm,
data:sex,Sex,
data:sex (all age groups),Sex (all age groups),
"data:sex (all age groups, with and without disabilities)","Sex (all age groups, with and without disabilities)",
data:sexual exploitation,Sexual exploitation,
"data:sexual exploitation, 14 to under 18 years","Sexual exploitation, 14 to under 18 years",
"data:sexual exploitation, 18 to under 21 years","Sexual exploitation, 18 to under 21 years",
"data:sexual exploitation, 21 to under 25 years","Sexual exploitation, 21 to under 25 years",
"data:sexual exploitation, 25 years and over","Sexual exploitation, 25 years and over",
"data:sexual exploitation, female","Sexual exploitation, female",
"data:sexual exploitation, male","Sexual exploitation, male",
"data:sexual exploitation, under 14 years","Sexual exploitation, under 14 years",
data:sh,Schleswig-Holstein,
data:share of adults suffering from obesity,Share of adults suffering from obesity,
data:share of all persons in the respective age group in %,Share of all persons in the respective age group in %,
data:share of expenditure for official development assistance in gross national income,Share of expenditure for official development assistance in gross national income,
data:share of overweight and obese 11- to 17-year-old adolescents,Share of overweight and obese 11- to 17-year-old adolescents,
data:share of people in households that spend more than 40% of their disposable income on living expenses,Share of people in households that spend more than 40% of their disposable income on living expenses,
data:share of recreational area to settlement and transport areas in cities with more than 100 000 inhabitants,Share of recreational area to settlement and transport areas in cities with more than 100 000 inhabitants,
data:share of recreational area to settlement and transport areas in cities with more than 100 000 inhabitants (%),Share of recreational area to settlement and transport areas in cities with more than 100 000 inhabitants,
data:share of tourism industries to total value added,Share of tourism industries to total value added,
data:share of tourism industries to total value added (%),Share of tourism industries to total value added,
data:share of withdrawal in renewable water resources,Share of withdrawal in renewable water resources,
data:share of withdrawal in renewable water resources (excluding cooling water),Share of withdrawal in renewable water resources (excluding cooling water),
data:shares in %,Shares in %,
data:sl,Saarland,
data:sn,Saxony,
data:so2,SO<sub>2</sub>,
data:species diversity and landscape quality,Species diversity and landscape quality,
data:speed,Speed,
data:st,Saxony-Anhalt,
data:standing water bodies,Standing water bodies,
data:strategy for adaptation to climate change,Strategy for Adaptation to Climate Change,
data:strategy for adaptation to climate change (number),Strategy for Adaptation to Climate Change,
data:structural funding balance (share of gross domestic product (at current prices) in %),Structural funding balance (share of gross domestic product (at current prices)),
data:students and researchers from developing and emerging countries in germany,Students and researchers from developing and emerging countries in germany,
data:students from ldcs,Students from LDCs,
data:students from other developing and emerging countries,Students from other developing and emerging countries,
data:stunting among children under the age of 5 years,Stunting among children under the age of 5 years,
data:stunting among children under the age of 5 years (%),Stunting among children under the age of 5 years,
data:sub-index coasts/seas,Sub-index coasts/seas,
data:sub-index farmland,Sub-index farmland,
data:sub-index forests,Sub-index forests,
data:sub-index inland waters,Sub-index inland waters,
data:sub-index settlements,Sub-index settlements,
data:sub-indicator 1: spatial extent of water-related ecosystems,Sub-indicator 1: Spatial extent of water-related ecosystems,
data:sub-indicator 1: spatial extent of water-related ecosystems (%),Sub-indicator 1: Spatial extent of water-related ecosystems,
data:sub-indicator 3:  quantity discharge of water in rivers,Sub-indicator 3:  Quantity discharge of water in rivers,
data:sub-indicator 3:  quantity discharge of water in rivers (%),Sub-indicator 3:  Quantity discharge of water in rivers,
data:sub-indicator 4: water bodies with good quality,Sub-indicator 4: Water bodies with good quality,
data:sub-indicator 4: water bodies with good quality (%),Sub-indicator 4: Water bodies with good quality,
data:subject,Subject,
data:suicide mortality rate,Suicide mortality rate,
data:suicide mortality rate (per 100 000 inhabitants),Suicide mortality rate,
data:sustainability programme,Sustainability Programme,
data:sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,Sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,
data:t per capita,t per capita,
data:technology,Technology,
data:tertiary,Tertiary education,
data:tertiary education,Tertiary education,
data:tertiary or post-secondary non-tertiary education,Total,
data:th,Thuringia,
data:thuringia,Thuringia,
data:time spent on unpaid domestic and care work,Time spent on unpaid domestic and care work,
data:time spent on unpaid domestic and care work (%),Time spent on unpaid domestic and care work,
data:timeseries,Time series,
data:title,Time series,
data:tonnes,t,
data:total,Total,
data:total female persons in employment,Total female persons in employment,
data:total female persons in employment (%),Total female persons in employment,
data:total municipal solid waste generated,Total municipal solid waste generated,
data:total nitrogen input into baltic/north seas via selected german inflows,Total nitrogen input into baltic/north seas via selected german inflows,
data:total official and private flows (net disbursements),Total Official and Private Flows (net disbursements),
"data:total official and private flows (net disbursements) (mn usd, constant prices (2016))",Total Official and Private Flows (net disbursements),
data:trade balance,Trade balance,
data:transboundary basin area with an operational arrangement for water cooperation,Transboundary basin area with an operational arrangement for water cooperation,
data:transboundary basin area with an operational arrangement for water cooperation (%),Transboundary basin area with an operational arrangement for water cooperation,
data:transferring files between a computer or other devices,Transferring files between a computer or other devices,
data:transport area,Transport area,
data:transport via pipeline: crude oil,Transport via pipeline: crude oil,
data:travel time by public transport to the nearest medium-sized or large city,Travel time by public transport to the nearest medium-sized or large city,
data:tuberculosis incidence,Tuberculosis incidence,
data:tuberculosis incidence (per 100 000 inhabitants),Tuberculosis incidence,
data:type of account,Type of account,
data:type of dependence,Type of dependence,
data:type of dependence (1 000),Type of dependence,
data:type of disease,Type of disease,
data:type of flow,Type of flow,
data:type of treatment,Type of treatment,
data:type of waste treatment,Type of waste treatment,
data:type of water body,Type of water body,
data:typification,Spatial typologie,
data:under 14 years,Under 14 years,
data:under 18 years,under 18 years,
data:under-five mortality rate,Under-five mortality rate,
data:under-five mortality rate (per 1 000 live births),Under-five mortality rate,
data:unemployed persons with unemployment benefits,Unemployed persons with unemployment benefits,
data:unemployed persons with unemployment benefits (%),Unemployed persons with unemployment benefits,
data:unemployment rate,Unemployment rate,
data:unemployment rate (%),Unemployment rate,
data:unit,Unit of measure,
data:unknown,Unknown,
data:unsentenced detainees,Unsentenced detainees,
data:unsentenced detainees (%),Unsentenced detainees,
data:untreated wastewater that does not have to undergo treatment,Untreated wastewater that does not have to undergo treatment,
data:urban,Urban,
data:urbanisation,Degree of urbanisation,
data:use of the emas eco-management system in germany,Use of the emas eco-management system in germany,
data:victims of criminal offences,Victims of criminal offences,
data:victims of female genital mutilation,Victims of female genital mutilation,
data:victims of female genital mutilation (number),Victims of female genital mutilation,
data:victims of human trafficking,Victims of human trafficking,
data:victims of intentional homicide,Victims of intentional homicide,
data:violence against women,violence against women,
data:wastewater safely treated,Wastewater safely treated,
data:wastewater safely treated (%),Wastewater safely treated,
data:wasting among children under the age of 5 years,Wasting among children under the age of 5 years,
data:wasting among children under the age of 5 years (%),Wasting among children under the age of 5 years,
data:water bodies with good quality,Water bodies with good quality,
data:water bodies with good quality (%),Water bodies with good quality,
data:water use efficiency,Water use efficiency,
data:water use efficiency (2010 = 100),Water use efficiency,
data:women in managerial positions,Women in managerial positions,
data:women in managerial positions (%),Women in managerial positions,
data:women on supervisory boards,Women on supervisory boards,
data:working population,Working population,
data:writing a computer program using a programming language,Writing a computer program using a programming language,
data:young people (15 to under 25 years) neither in employment nor in education and training  (neet rates),Young people (15 to under 25 years) neither in employment nor in education and training  (NEET rates),
data:young people (15 to under 25 years) neither in employment nor in education and training (neet rates) (%),Young people (15 to under 25 years) neither in employment nor in education and training  (NEET rates),
data:young victims of trafficking in human beings with intent to exploit man power,Young victims of trafficking in human beings with intent to exploit man power,
data:young victims of trafficking in human beings with intent to exploit man power (number),Young victims of trafficking in human beings with intent to exploit man power,
search:found_in,found in,
search:goals,goals,
search:indicator_search,Indicator search,
search:indicators,indicators,
search:keywords,Keywords,
search:no_results,No results,
search:search,Search,
search:search_results_for,Search results for,
post:posts_by_category,Posts by Category,
post:view_all_in_category,View all posts in the %category_name category,
global_goals:1-short,No poverty,
global_goals:1-title,End poverty in all its forms everywhere,
global_goals:10-short,Reduced inequalities,
global_goals:10-title,Reduce inequality within and among countries,
global_goals:11-short,Sustainable cities & communities,
global_goals:11-title,"Make cities and human settlements inclusive, safe, resilient and sustainable",
global_goals:12-short,Responsible consumption and production,
global_goals:12-title,Ensure sustainable consumption and production patterns,
global_goals:13-short,Climate action,
global_goals:13-title,Take urgent action to combat climate change and its impacts,
global_goals:14-short,Life below water,
global_goals:14-title,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",
global_goals:15-short,Life on land,
global_goals:15-title,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",
global_goals:16-short,Peace and justice - strong institutions,
global_goals:16-title,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",
global_goals:17-short,Partnerships for the goals,
global_goals:17-title,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,
global_goals:2-short,Zero hunger,
global_goals:2-title,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",
global_goals:3-short,Good health and well-being,
global_goals:3-title,Ensure healthy lives and promote well-being for all at all ages,
global_goals:4-short,Quality education,
global_goals:4-title,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,
global_goals:5-short,Gender equality,
global_goals:5-title,Achieve gender equality and empower all women and girls,
global_goals:6-short,Clean water and sanitation,
global_goals:6-title,Ensure availability and sustainable management of water and sanitation for all,
global_goals:7-short,Affordable and clean energy,
global_goals:7-title,"Ensure access to affordable, reliable, sustainable and modern energy for all",
global_goals:8-short,Decent jobs and economic growth,
global_goals:8-title,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",
global_goals:9-short,"Industry, innovation and infrastructure",
global_goals:9-title,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",
indicator:chart,Chart,
indicator:clear_all,Clear all,
indicator:clear_selections,Clear selections,
indicator:contentAndProgress,Content and progress,
indicator:copyright,Copyright,
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,
indicator:details,Details,
indicator:dns_metadata_blurb,"This table includes additional information to the above visualized indicators, i.e. a short definition of this indicator and a description of the politically determined target values, if necessary translated into a statistically assessed target value as well as explaining the political intention behind selecting this indicator.",
indicator:download_chart,Download Chart CSV,
indicator:download_chart_image,Download Chart Image,
indicator:download_csv,Download CSV,
indicator:download_csv_title,Download as CSV,
indicator:download_headline,Download Headline CSV,
indicator:download_headline_title,Download headline data as CSV,
indicator:download_source,Download Source CSV,
indicator:download_source_title,Download source data as CSV,
