key,en,de
data:gross value added of high-tech industries to total manufacturing value added,Gross value added of high-tech industries to total manufacturing value added,Bruttowertschöpfung der High-Tech-Industrien am Verarbeitenden Gewerbe
data:gross value added of high-tech industries to total manufacturing value added (%),Gross value added of high-tech industries to total manufacturing value added,Bruttowertschöpfung der High-Tech-Industrien am Verarbeitenden Gewerbe
data:gross value added of medium- and high-tech industries to total manufacturing value added,Gross value added of medium- and high-tech industries to total manufacturing value added,Bruttowertschöpfung der Medium- und High-Tech-Industrien am Verarbeitenden Gewerbe
data:gross value added of medium- and high-tech industries to total manufacturing value added (%),Gross value added of medium- and high-tech industries to total manufacturing value added,Bruttowertschöpfung der Medium- und High-Tech-Industrien am Verarbeitenden Gewerbe
data:gross value added of medium-high-tech industries to total manufacturing value added,Gross value added of medium-high-tech industries to total manufacturing value added,Bruttowertschöpfung der Medium-High-Tech-Industrien am Verarbeitenden Gewerbe
data:gross value added of medium-high-tech industries to total manufacturing value added (%),Gross value added of medium-high-tech industries to total manufacturing value added,Bruttowertschöpfung der Medium-High-Tech-Industrien am Verarbeitenden Gewerbe
data:gross value added of small-scale industries in manufacturing,Gross value added of small-scale industries in manufacturing,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe
data:gross value added of small-scale industries in manufacturing (%),Gross value added of small-scale industries in manufacturing,Bruttowertschöpfung kleiner Unternehmen im Verarbeitenden Gewerbe
data:growth rate of income of the bottom 40 per cent of the population,Growth rate of income of the bottom 40 per cent of the population,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung
data:growth rate of income of the bottom 40 per cent of the population (%),Growth rate of income of the bottom 40 per cent of the population,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung
data:growth rate of income of the total population,Growth rate of income of the total population,Wachstumsrate des Einkommens der gesamten Bevölkerung
data:growth rate of income of the total population (%),Growth rate of income of the total population,Wachstumsrate des Einkommens der gesamten Bevölkerung
data:ha/d,hectares per day (ha/d),Hektar pro Tag (ha/d)
data:hamburg,Hamburg,Hamburg
data:hb,Bremen,Bremen
data:he,Hesse,Hessen
data:health workers,Health workers,Gesundheitspersonal
data:health workers - practising concept,Health workers - Practising concept,Gesundheitspersonal (mit direktem Patientenkontakt)
data:health workers - practising concept (per 10 000 inhabitants),Health workers - Practising concept,Gesundheitspersonal (mit direktem Patientenkontakt)
data:hepatitis b incidence,Hepatitis B incidence,Auftreten von Hepatitis B
data:hepatitis b incidence (per 100 000 inhabitants),Hepatitis B incidence,Auftreten von Hepatitis B
data:hesse,Hesse,Hessen
data:hh,Hamburg,Hamburg
data:hiv incidence,HIV incidence,Auftreten von HIV
data:hiv incidence (per 1 000 inhabitants),HIV incidence,Auftreten von HIV
data:hours worked by employees,Hours worked by employees,Geleistete Arbeitsstunden der Arbeitnehmer
data:hours worked by persons employed,Hours worked by persons employed,Geleistete Arbeitsstunden der Erwerbstätigen
data:households and small-sized enterprises connected to the electricity network,Households and small-sized enterprises connected to the electricity network,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind"
data:households covered by (%):,Households covered by a mobile network,"Haushalte, die mit Mobilfunk abgedeckt sind"
data:households covered by:,Households covered by:,"Haushalte, die mit:"
data:imports from ldcs,Imports from LDCs,Einfuhren aus LDCs
data:imports from the least developed countries (ldcs),Imports from the least developed countries (LDCs),Einfuhren aus LDCs
data:imports of processed products from ldcs,Imports of processed products from LDCs,Einfuhren von weiterverarbeiteten Produkten aus LDCs
data:incineration,incineration,Verbrennung
data:income,Income or wealth quantile,Einkommen oder Vermögen Quantil
data:index,Index,Index
data:index overall,Index overall,Index insgesamt
data:index/number, , 
data:indicator,Indicator,Indikator
data:infant mortality rate (under 1 year),Infant mortality rate (under 1 year),Säuglingssterblichkeit (unter 1 Jahr)
data:infant mortality rate (under 1 year) (per 1 000 live births),Infant mortality rate (under 1 year),Säuglingssterblichkeit (unter 1 Jahr)
data:inhabitans per square kilometre of settlement and transport area,Inhabitans per square kilometre of settlement and transport area,Einwohnerinnen und Einwohner je Quadratkilometer Siedlungs- und Verkehrsfläche
data:inland waterway transport,Inland waterway transport,Binnenschifffahrt
data:inpatient treatment of alcohol dependence,Inpatient treatment of alcohol dependence,Stationäre Behandlung bei Alkoholabhängigkeit
data:inpatient treatment of alcohol dependence (1 000),Inpatient treatment of alcohol dependence,Stationäre Behandlung bei Alkoholabhängigkeit
data:inpatient treatment of dependence syndrom due to psychoactive substance use,Inpatient treatment of dependence syndrom due to psychoactive substance use,Stationäre Behandlung bei Abhängigkeit durch psychotrope Substanzen
data:inpatient treatment of dependence syndrom due to psychoactive substance use (1 000),Inpatient treatment of dependence syndrom due to psychoactive substance use,Stationäre Behandlung bei Abhängigkeit durch psychotrope Substanzen
data:installed software or applications (apps),Installing software or apps,Installation von Software oder Anwendungen (Apps)
data:installing software or apps,Installing software or apps,Installation von Software oder Anwendungen
data:intendet nationally determined contribution of the eu and its member states,Intendet Nationally Determined Contribution of the EU and its member states,Nationale Minderungsbeiträge
data:intestinal nematode infections,Mortality rate attributed to intestinal nematode infections,intestinalen Nematodeninfektionen
data:items,Items,Probleme
data:key biodiversity areas (kbas) covered by protected areas,Key Biodiversity Areas (KBAs) covered by protected areas,"Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen"
data:key biodiversity areas (kbas) covered by protected areas (%),Key Biodiversity Areas (KBAs) covered by protected areas,"Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen"
data:kg per capita,kg per capita,kg je Einwohner
data:kg/ha,Kilograms per hectare (kg/ha),Kilogramm je Hektar (kg/ha)
data:labour productivity in agriculture,Labour productivity in agriculture,Arbeitsproduktivität in der Landwirtschaft
data:labour productivity in agriculture (2010 = 100),Labour productivity in agriculture,Arbeitsproduktivität in der Landwirtschaft
data:labour productivity in forestry,Labour productivity in forestry,Arbeitsproduktivität in der Forstwirtschaft
data:labour productivity in forestry (2010 = 100),Labour productivity in forestry,Arbeitsproduktivität in der Forstwirtschaft
data:labour productivity per hour worked by employee,Labour productivity per hour worked by employee,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde
data:labour productivity per hour worked by persons employed,Labour productivity per hour worked by persons employed,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde
data:labour share of gdp,Labour share of GDP,Anteil des Arbeitnehmerentgelts am BIP
data:labour share of gdp (%),Labour share of GDP,Anteil des Arbeitnehmerentgelts am BIP
data:land consumption rate,Land consumption rate,Flächenverbrauchsrate
"data:legal frameworks that promote, enforce and monitor gender equality regarding (%):","Legal frameworks that promote, enforce and monitor gender equality regarding:","Rechtliche Rahmenbedingungen zur Förderung, Durchsetzung und Überwachung der Gleichstellung der Geschlechter bezüglich"
"data:legal frameworks that promote, enforce and monitor gender equality regarding:","Legal frameworks that promote, enforce and monitor gender equality regarding:","Rechtliche Rahmenbedingungen zur Förderung, Durchsetzung und Überwachung der Gleichstellung der Geschlechter bezüglich"
data:level of proficiency,Level of proficiency,Leistungsniveau
data:level of risk of extinction,Level of risk of extinction,Gefährdungskategorie
data:level of risk of extinction (%),Level of risk of extinction,Gefährdungskategorie
data:level of risk of extinction (according to fao classification),Level of risk of extinction (according to FAO classification),Gefährdungskategorie (nach FAO-Klassifikation)
data:level of risk of extinction (according to fao classification) (%),Level of risk of extinction (according to FAO classification),Gefährdungskategorie (nach FAO-Klassifikation)
data:level of risk of extinction (according to national classification),Level of risk of extinction (according to national classification),Gefährdungskategorie (nach nationaler Klassifikation)
data:level of risk of extinction (according to national classification) (%),Level of risk of extinction (according to national classification),Gefährdungskategorie (nach nationaler Klassifikation)
data:level of water stress (%):,Level of water stress,Nutzung der Wasserressourcen
data:level of water stress:,Level of water stress,Nutzung der Wasserressourcen
data:level of waterstress,Level of waterstress,Nutzung der Wasserressourcen
data:liquid assets to short-term liabilities,Liquid assets to short-term liabilities,Verbindlichkeiten
data:liquid assets to short-term liabilities (%),Liquid assets to short-term liabilities,Verbindlichkeiten
data:litres of pure alcohol per capita,Litres of pure alcohol per capita,Liter puren Alkohols pro Einwohner
data:live births in hospitals,Live births in hospitals,Lebendgeborene in Krankenhäusern
data:live births in hospitals (%),Live births in hospitals,Lebendgeborene in Krankenhäusern
"data:local livestock breeds (horses, cows, pigs, sheep and goats)","Local livestock breeds (horses, cows, pigs, sheep and goats)","Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)"
"data:local livestock breeds (horses, cows, pigs, sheep and goats) (number)","Local livestock breeds (horses, cows, pigs, sheep and goats)","Einheimische Nutztierrassen (Pferde, Rinder, Schweine, Schafe und Ziegen)"
data:lower saxony,Lower Saxony,Niedersachsen
data:lte,LTE,LTE
data:m2/(inhabitant*a),Squaremeters per year,Quadratmeter pro Jahr
data:malaria incidence,Malaria incidence,Auftreten von Malaria
data:malaria incidence (per 1 000 inhabitants),Malaria incidence,Auftreten von Malaria
data:male,Male,Männlich
data:male and female,Both sexes,Beide Geschlechter
data:manufacturing gross value added as a proportion of gdp,Manufacturing gross value added as a proportion of GDP,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP
data:manufacturing gross value added as a proportion of gdp (%),Manufacturing gross value added as a proportion of GDP,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP
data:manufacturing gross value added as a proportion of total gross value added,Manufacturing gross value added as a proportion of total gross value added,Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt
data:manufacturing gross value added as a proportion of total gross value added (%),Manufacturing gross value added as a proportion of total gross value added,Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt
data:manufacturing gross value added per capita,Manufacturing gross value added per capita,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf
data:manufacturing gross value added per capita (eur),Manufacturing gross value added per capita,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf
data:manufacturing persons employed,Manufacturing persons employed,Erwerbstätige im Verarbeitenden Gewerbe
data:manufacturing persons employed (%),Manufacturing persons employed,Erwerbstätige im Verarbeitenden Gewerbe
data:marine key biodiversity areas (kbas) covered by protected areas,Marine Key Biodiversity Areas (KBAs) covered by protected areas,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen"
data:marine key biodiversity areas (kbas) covered by protected areas (%),Marine Key Biodiversity Areas (KBAs) covered by protected areas,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen"
data:market share of products certified by independently verified sustainability labelling schemes,Market share of products certified by independently verified sustainability labelling schemes,Marktanteil von Produkten mit staatlichen Umweltzeichen
data:marriage and family,marriage and family,Ehe und Familie
data:married girls under 15 years,Married girls under 15 years,Verheiratete Mädchen unter 15 Jahren
data:married girls under 18 years,Married girls under 18 years,Verheiratete Mädchen unter 18 Jahren
data:material deprivation for the housing dimension (one to four items),Material deprivation for the housing dimension (one to four items),Materielle Deprivation bezogen auf die Wohn-Dimension (ein bis vier Probleme)
data:material deprivation for the housing dimension (one to four items) (%),Material deprivation for the housing dimension (one to four items),Materielle Deprivation bezogen auf die Wohn-Dimension (ein bis vier Probleme)
data:maternal mortality,Maternal mortality,Müttersterblichkeit
data:maternal mortality (per 100 000 live births),Maternal mortality,Müttersterblichkeit
data:mathematics,mathematics,Mathematik
data:mecklenburg western pomerania,Mecklenburg Western Pomerania,Mecklenburg-Vorpommern
data:membership ganhri (category a),Membership GANHRI (category A),Mitgliedschaft GANHRI (Kategorie A)
data:membership ganhri (category a) (number),Membership GANHRI (category A),Mitgliedschaft GANHRI (Kategorie A)
data:method,Calculation method,Berechnungsmethode
data:mg/l,Milligrams per litre (mg/l),Milligramm pro Liter (mg/l)
data:micrograms per cubic meter,Micrograms per cubic meter,Mikrogramm pro Kubikmeter
data:min.,Minutes,Minuten
data:minimum requirement level i,minimum requirement level I,Mindestniveau Stufe I
data:minimum requirement level ii,minimum requirement level II,Mindestniveau Stufe II
data:mio.,Millions,Millionen
data:mio. eur,Millions of euros (Mn €),Millionen Euro (Mio. €)
data:mj/eur,MJ/EUR,MJ/EUR
data:mn eur,Mn EUR,Mill. EUR
data:mn h,Mn h,Mill. h
data:mn pkm,Mn pkm,Mill. Pkm
data:mn t,Mn t,Mill. t
data:mn tkm,Mn tkm,Mill. tkm
"data:mn usd, constant prices (2016)","Mn USD, constant prices (2016)","Mill. USD, konstante Preise (2016)"
data:mobility impaired people,Mobility impaired people,Menschen mit Mobilitätseinschränkung
data:mode of transport,Mode of transport,Verkehrsmittel
data:monitored fish stocks based on the msy approach that are professionally exploited,Monitored fish stocks based on the MSY approach that are professionally exploited,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen
data:monitored fish stocks based on the msy approach that are professionally exploited (%),Monitored fish stocks based on the MSY approach that are professionally exploited,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen
data:mortality rate attributed to,Mortality rate attributed to,Sterblichkeit aufgrund von
data:mortality rate attributed to (per 100 000 inhabitants),Mortality rate attributed to,Sterblichkeit aufgrund von
data:mortality rate attributed to unintentional poisoning,Mortality rate attributed to unintentional poisoning,Sterblichkeit aufgrund von unbeabsichtigter Vergiftung
data:mortality rate attributed to unintentional poisoning (per 100 000 inhabitants),Mortality rate attributed to unintentional poisoning,Sterblichkeit aufgrund von unbeabsichtigter Vergiftung
data:mortality rate of persons aged 30 to under 70 years attributed to,Mortality rate of persons aged 30 to under 70 years attributed to,Sterblichkeit von Personen im Alter von 30 bis unter 70 Jahren aufgrund von
data:mortality rate of persons aged 30 to under 70 years attributed to (1 000),Mortality rate of persons aged 30 to under 70 years attributed to,Sterblichkeit von Personen im Alter von 30 bis unter 70 Jahren aufgrund von
data:motorised private transport,Motorised private transport,Motorisierter Individualverkehr
data:mountain green cover index,Mountain Green Cover Index,'Mountain Green Cover' Index
data:mountain green cover index (%),Mountain Green Cover Index,'Mountain Green Cover' Index
"data:moving five-year average, referring to the middle year","Moving five-year average, referring to the middle year",Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
data:municipal solid waste regularly collected and treated,Municipal solid waste regularly collected and treated,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden"
data:municipal waste,Municipal waste,Siedlungsabfälle insgesamt
data:municipal waste recycled,Municipal waste recycled,Recycelte Siedlungsabfälle
data:mv,Mecklenburg Western Pomerania,Mecklenburg-Vorpommern
data:national recycling rate of municipal waste,National recycling rate of municipal waste,Nationale Recyclingquote von Siedlungsabfällen
data:national recycling rate of total waste,National recycling rate of total waste,Nationale Recyclingquote von Abfällen insgesamt
data:national sustainable development strategie,National Sustainable Development Strategie,Nationale nachhaltige Entwicklungsstrategie
data:national sustainable development strategie (number),National Sustainable Development Strategie,Nationale nachhaltige Entwicklungsstrategie
data:neonatal mortality rate,Neonatal mortality rate,Sterberate bei Neugeborenen
data:neonatal mortality rate (per 1 000 live births),Neonatal mortality rate,Sterberate bei Neugeborenen
data:net open position in foreign exchange to capital,Net open position in foreign exchange to capital,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln
data:net open position in foreign exchange to capital (%),Net open position in foreign exchange to capital,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln
data:nh3,NH<sub>3</sub>,NH<sub>3</sub>
data:ni,Lower Saxony,Niedersachsen
data:nitrate in groundwater,Nitrate in groundwater,Nitrat im Grundwasser
data:nitrogen surplus in land used for agriculture,Nitrogen surplus in land used for agriculture,Stickstoffüberschuss auf landwirtschaftlich genutzten Fläche
data:nmvoc,NMVOC,NMVOC
data:non-fatal occupational accidents,Non-fatal occupational accidents,Nicht-tödliche Arbeitsunfälle
data:non-fatal occupational accidents (per 100 000 employees),Non-fatal occupational accidents,Nicht-tödliche Arbeitsunfälle
data:non-rural areas,Non-rural areas,Nicht-ländliche Räume
data:nondisabled,Persons without disability,Personen ohne Behinderung
data:nonperforming loans net of provisions to capital,Nonperforming loans net of provisions to capital,Relation zwischen notleidenden Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital
data:nonperforming loans net of provisions to capital (%),Nonperforming loans net of provisions to capital,Relation zwischen notleidenden Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital
data:nonperforming loans net of provisions to gross loans,Nonperforming loans net of provisions to gross loans,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt
data:nonperforming loans net of provisions to gross loans (%),Nonperforming loans net of provisions to gross loans,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt
data:north rhine-westphalia,North Rhine-Westphalia,Nordrhein-Westfalen
data:north sea,North sea,Nordsee
data:nox,NO<sub>x</sub>,NO<sub>x</sub>
data:number,Number,Anzahl
data:number of partner countries of german development cooperation whose rating has improved compared with 2012,Number of partner countries of german development cooperation whose rating has improved compared with 2012,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat"
"data:number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world","Number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world","Anzahl der in betroffenen Weltregionen durchgeführten Projekte zur Sicherung, Registrierung und Zerstörung von Kleinwaffen und leichten Waffen durch Deutschland"
data:nw,North Rhine-Westphalia,Nordrhein-Westfalen
data:occupation,Occupation,Beruf
"data:oda (commitments) for biodiversity (mn usd, constant prices (2016))",ODA (gross disbursements) to the forestry sector,Bruttoentwicklungsausgaben für den Forstsektor
data:oda (gross disbursements) for imputed student costs,ODA (gross disbursements) for imputed student costs,Bruttoentwicklungsausgaben für Studienplatzkosten
"data:oda (gross disbursements) for imputed student costs (mn usd, constant prices (2016))",ODA (gross disbursements) for imputed student costs,Bruttoentwicklungsausgaben für Studienplatzkosten
"data:oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",ODA (gross disbursements) for other related water and sanitation purposes,Bruttoentwicklungsausgaben für verwandte Zwecke
data:oda (gross disbursements) for scholarships,ODA (gross disbursements) for scholarships,Bruttoentwicklungsausgaben für Stipendien
"data:oda (gross disbursements) for scholarships (mn usd, constant prices (2016))",ODA (gross disbursements) for scholarships,Bruttoentwicklungsausgaben für Stipendien
"data:oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",ODA (gross disbursements) for water and sanitation,Bruttoentwicklungsausgaben für Wasser und Sanitär
data:oda (gross disbursements) to infrastructure,ODA (gross disbursements) to infrastructure,Bruttoentwicklungsausgaben für Infrastruktur
"data:oda (gross disbursements) to infrastructure (mn usd, constant prices (2016))",ODA (gross disbursements) to infrastructure,Bruttoentwicklungsausgaben für Infrastruktur
data:oda (gross disbursements) to medical research and basic health sectors,ODA (gross disbursements) to medical research and basic health sectors,Bruttoentwicklungsausgaben für medizinische Forschung und den Basisgesundheitssektor
"data:oda (gross disbursements) to medical research and basic health sectors (mn usd, constant prices (2016))",ODA (gross disbursements) to medical research and basic health sectors,Bruttoentwicklungsausgaben für medizinische Forschung und den Basisgesundheitssektor
data:oda (gross disbursements) to the agriculture sector,ODA (gross disbursements) to the agriculture sector,Bruttoentwicklungsausgaben für die Landwirtschaft
"data:oda (gross disbursements) to the agriculture sector (mn usd, constant prices (2016))",ODA (gross disbursements) to the agriculture sector,Bruttoentwicklungsausgaben für die Landwirtschaft
"data:oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",ODA (commitments) for biodiversity,Verpflichtungen für Biodiversität
data:oda (net disbursements),ODA (net disbursements),Öffentliche Nettoentwicklungsausgaben (ODA)
data:oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries,ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries,Finanzzusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten in Entwicklungsländern
"data:oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices (2016))",ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries,Finanzzusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten in Entwicklungsländern
data:oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),ODA and OOF (commitments) to developing countries for capacity building and national planning (without South-South cooperation),Verpflichtungen (ODA und OOF) an Entwicklungsländer zum Kapazitätenaufbau und nationalen Planungen (ohne Süd-Süd-Kooperationen)
"data:oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation) (mn usd, constant prices (2016))",ODA and OOF (commitments) to developing countries for capacity building and national planning (without South-South cooperation),Verpflichtungen (ODA und OOF) an Entwicklungsländer zum Kapazitätenaufbau und nationalen Planungen (ohne Süd-Süd-Kooperationen)
data:oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,Bruttozahlungen (ODA und OOF) zum Ausbau statistischer Kapazitäten in Entwicklungsländern
"data:oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,Bruttozahlungen (ODA und OOF) zum Ausbau statistischer Kapazitäten in Entwicklungsländern
data:oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),ODA and OOF (gross disbursements) to developing countries for capacity building and national planning (without South-South cooperation),Bruttozahlungen (ODA und OOF) an Entwicklungsländer zum Kapazitätenaufbau und nationalen Planungen (ohne Süd-Süd-Kooperationen)
"data:oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation) (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) to developing countries for capacity building and national planning (without South-South cooperation),Bruttozahlungen (ODA und OOF) an Entwicklungsländer zum Kapazitätenaufbau und nationalen Planungen (ohne Süd-Süd-Kooperationen)
data:oda and oof (gross disbursements) to infrastructure,ODA and OOF (gross disbursements) to infrastructure,"Gesamte öffentliche, internationale Unterstützung (öffentliche Entwicklungsausgaben und andere öffentliche Leistungen) für Infrastruktur"
"data:oda and oof (gross disbursements) to infrastructure (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) to infrastructure,"Gesamte öffentliche, internationale Unterstützung (öffentliche Entwicklungsausgaben und andere öffentliche Leistungen) für Infrastruktur"
data:official development assistance to support good governance for food security,Official development assistance to support good governance for food security,Öffentliche Entwicklungsausgaben zur Unterstützung guter Regierungsführung im Bereich Ernährungssicherheit
data:officially supported export credits (net disbursements),Officially Supported Export Credits (net disbursements),Öffentlich unterstützte Exportkredite (Nettoauszahlungen)
data:online accounts,Online accounts,Online-Konten
data:oof (net disbursements),OOF (net disbursements),Andere öffentliche Nettoleistungen (OOF)
data:open water bodies,Open water bodies,Seen und Talsperren
data:organically farmed agricultural land,Organically farmed agricultural land,Landwirtschaftliche Fläche unter ökologischer Bewirtschaftung
data:organisations with emas registration,Organisations with EMAS registration,Organisationen mit Umweltmanagement und Registrierung bei der Umweltprüfung (EMAS)
data:organisations with emas registration (number),Organisations with EMAS registration,Organisationen mit Umweltmanagement und Registrierung bei der Umweltprüfung (EMAS)
data:other,Other,Divers
data:other criminal offences,Other criminal offences,Sonstige Straftaten
data:other wastewater that does not have to undergo treatment,Other wastewater,Sonstiges Abwasser
data:overarching legal frameworks and public life,overarching legal frameworks and public life,Üergreifende rechtliche Rahmenbedingungen und das öffentliche Leben
data:overweight among children under the age of 5 years,Overweight among children under the age of 5 years,Übergewicht bei Kindern unter 5 Jahren
data:overweight among children under the age of 5 years (%),Overweight among children under the age of 5 years,Übergewicht bei Kindern unter 5 Jahren
data:participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,Participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,Teilnahmequote der 15 bis unter 25-Jährigen in der formalen und non-formalen Bildung und Ausbildung in den letzten 12 Monaten
data:participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),Participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,Teilnahmequote der 15 bis unter 25-Jährigen in der formalen und non-formalen Bildung und Ausbildung in den letzten 12 Monaten
data:participation rate of adults in formal and non-formal education and training in the previous 12 months,Participation rate of adults in formal and non-formal education and training in the previous 12 months,Teilnahmequote der Erwachsenen in der formalen und non-formalen Bildung und Ausbildung in den letzten 12 Monaten
data:participation rate of adults in formal and non-formal education and training in the previous 12 months (%),Participation rate of adults in formal and non-formal education and training in the previous 12 months,Teilnahmequote der Erwachsenen in der formalen und non-formalen Bildung und Ausbildung in den letzten 12 Monaten
"data:particulate matter exposure (pm10), of at least 20 micro-g per m3 air on average per year","Particulate matter exposure (pm10), of at least 20 micro-g per m<sup>3</sup> air on average per year",Feinstaubexposition (PM<sub>10</sub>) oberhalb des WHO-Richtwertes von mindestens 20 μg pro m<sup>3</sup> Luft im Jahresmittel
data:partnership for sustainable textiles,Partnership for sustainable textiles,Bündnis für nachhaltige Textilien
data:passenger transport,a) Passenger transport,a) Personenverkehr
data:passenger transport performance,Passenger transport performance,Personenbeförderungsleistung
data:payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,Payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,Zahlungen an Entwicklungs- und Schwellenländer für den nachgewiesenen Erhalt bzw. Wiederaufbau von Wäldern unter dem REDD+-Regelwerk
data:penetration rate mobile communication (related to the population),Penetration rate mobile communication (related to the population),Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung)
data:penetration rate mobile communication (related to the population) (%),Penetration rate mobile communication (related to the population),Penetrationsrate Mobilfunk (bezogen auf die Bevölkerung)
data:per 1 000 inhabitants,Per 1 000 inhabitants,Je 1 000 Einwohner
data:per 1 000 live births,Per 1 000 live births,Je 1 000 Lebendgeborenen
data:per 1 000 women of same age,Per 1 000 women of same age,Je 1 000 Frauen gleichen Alters
data:per 1 mn inhabitants,Per 1 Mn inhabitants,Je 1 Mill. Einwohner
data:per 10 000 inhabitants,Per 10 000 inhabitants,Je 10 000 Einwohner
data:per 100 000 adults,per 100 000 adults,Je 100 000 Erwachsene
data:per 100 000 employees,Per 100 000 employees,Je 100 000 Beschäftigte
data:per 100 000 inhabitants,Per 100 000 inhabitants,Je 100 000 Einwohner
data:per 100 000 live births,Per 100 000 live births,Je 100 000 Lebendgeborenen
data:per 100 inhabitants,Per 100 inhabitants,Je 100 Einwohner
data:percent,Percent,Prozent
data:percentage,percentage,Prozent
data:percentage (%),Percentage (%),Prozent (%)
data:persons (10 years and older) with computer-related activities in the last 12 months,Persons (10 years and older) with computer-related activities in the last 12 months,Personen (10 Jahre und älter) mit computerbezogenen Aktivitäten in den letzten 12 Monaten
data:persons (10 years and older) with computer-related activities in the last 12 months (%),Persons (10 years and older) with computer-related activities in the last 12 months,Personen (10 Jahre und älter) mit computerbezogenen Aktivitäten in den letzten 12 Monaten
data:persons employed,Persons employed,Erwerbstätige
data:persons employed in accommodation,Persons employed in accommodation,Tätige Personen im Gastgewerbe
data:persons employed in accommodation (1 000),Persons employed in accommodation,Tätige Personen im Gastgewerbe
data:persons employed in tourism industries,Persons employed in tourism industries,Erwerbstätige im Tourismus
data:persons employed in tourism industries (1 000),Persons employed in tourism industries,Erwerbstätige im Tourismus
data:ph-value,ph-value,pH-Wert
data:phosphorous in flowing waters,Phosphorous in flowing waters,Phosphor in Fließgewässern
data:plant genetic resources,Plant genetic resources,Pflanzengenetische Ressourcen
data:plant genetic resources (number),Plant genetic resources,Pflanzengenetische Ressourcen
data:pm2.5,PM<sub>2.5</sub>,"PM<sub>2,5</sub>"
data:population connected to the public water supply system,Population connected to the public water supply system,Bevölkerung mit Anschluss an die öffentliche Wasserversorgung
data:population connected to the public water supply system (%),Population connected to the public water supply system,Bevölkerung mit Anschluss an die öffentliche Wasserversorgung
